Source;Target;Type;Id;Label;Weight
5.3;2.9;Directed;;;1
5.4;2.37;Directed;;;1
5.5;2.19;Directed;;;1
7.0;2.38;Directed;;;1
7.1;2.19;Directed;;;1
7.2;2.8;Directed;;;1
7.1;2.12;Directed;;;1
7.3;2.36;Directed;;;1
7.2;2.12;Directed;;;1
7.3;2.11;Directed;;;1
7.4;2.1;Directed;;;1
7.5;2.18;Directed;;;1
7.6;2.37;Directed;;;1
7.7;2.39;Directed;;;1
7.8;2.1;Directed;;;1
7.1;2.20;Directed;;;1
7.5;2.26;Directed;;;1
7.8;2.13;Directed;;;1
7.9;2.39;Directed;;;1
7.10;2.33;Directed;;;1
7.10;2.38;Directed;;;1
7.11;2.19;Directed;;;1
7.12;2.2;Directed;;;1
7.9;2.5;Directed;;;1
7.13;2.17;Directed;;;1
7.10;2.19;Directed;;;1
7.14;2.15;Directed;;;1
7.15;2.27;Directed;;;1
7.16;2.39;Directed;;;1
7.17;2.40;Directed;;;1
7.18;2.15;Directed;;;1
7.19;2.24;Directed;;;1
7.20;2.41;Directed;;;1
7.6;2.5;Directed;;;1
7.21;2.20;Directed;;;1
7.22;2.28;Directed;;;1
7.23;2.15;Directed;;;1
7.24;2.42;Directed;;;1
7.25;2.30;Directed;;;1
7.26;2.31;Directed;;;1
7.27;2.4;Directed;;;1
7.28;2.4;Directed;;;1
7.29;2.1;Directed;;;1
7.30;2.2;Directed;;;1
7.31;2.26;Directed;;;1
7.16;2.36;Directed;;;1
7.32;2.11;Directed;;;1
7.33;2.40;Directed;;;1
7.34;2.1;Directed;;;1
7.14;2.6;Directed;;;1
7.35;2.43;Directed;;;1
7.36;2.26;Directed;;;1
7.37;2.44;Directed;;;1
7.38;2.29;Directed;;;1
7.7;2.9;Directed;;;1
7.12;2.0;Directed;;;1
7.13;2.35;Directed;;;1
7.27;2.37;Directed;;;1
7.39;2.45;Directed;;;1
7.9;2.13;Directed;;;1
7.40;2.3;Directed;;;1
7.41;2.6;Directed;;;1
7.42;2.31;Directed;;;1
26.0;2.2;Directed;;;1
26.1;2.26;Directed;;;1
26.2;2.14;Directed;;;1
26.3;2.46;Directed;;;1
26.4;2.22;Directed;;;1
26.2;2.20;Directed;;;1
26.0;2.5;Directed;;;1
26.4;2.29;Directed;;;1
26.5;2.37;Directed;;;1
26.2;2.27;Directed;;;1
26.6;2.15;Directed;;;1
26.7;2.12;Directed;;;1
26.8;2.45;Directed;;;1
26.5;2.28;Directed;;;1
26.9;2.27;Directed;;;1
26.9;2.45;Directed;;;1
26.10;2.47;Directed;;;1
26.6;2.47;Directed;;;1
26.6;2.44;Directed;;;1
26.11;2.40;Directed;;;1
27.0;2.4;Directed;;;1
27.0;2.47;Directed;;;1
27.1;2.14;Directed;;;1
27.2;2.11;Directed;;;1
27.2;2.41;Directed;;;1
27.2;2.44;Directed;;;1
27.3;2.7;Directed;;;1
27.4;2.48;Directed;;;1
27.5;2.49;Directed;;;1
27.6;2.23;Directed;;;1
27.7;2.50;Directed;;;1
27.8;2.51;Directed;;;1
27.1;2.25;Directed;;;1
27.9;2.52;Directed;;;1
27.10;2.49;Directed;;;1
27.11;2.0;Directed;;;1
27.12;2.0;Directed;;;1
27.13;2.24;Directed;;;1
27.14;2.29;Directed;;;1
27.9;2.38;Directed;;;1
27.5;2.40;Directed;;;1
27.15;2.53;Directed;;;1
27.16;2.54;Directed;;;1
36.0;2.52;Directed;;;1
36.1;2.54;Directed;;;1
36.0;2.33;Directed;;;1
36.1;2.47;Directed;;;1
36.0;2.48;Directed;;;1
36.1;2.12;Directed;;;1
36.2;2.34;Directed;;;1
36.3;2.46;Directed;;;1
36.4;2.55;Directed;;;1
36.5;2.8;Directed;;;1
36.6;2.25;Directed;;;1
36.7;2.0;Directed;;;1
36.8;2.21;Directed;;;1
36.1;2.41;Directed;;;1
36.9;2.56;Directed;;;1
36.10;2.57;Directed;;;1
36.3;2.7;Directed;;;1
36.11;2.44;Directed;;;1
36.12;2.58;Directed;;;1
36.13;2.58;Directed;;;1
36.14;2.19;Directed;;;1
36.15;2.18;Directed;;;1
36.16;2.53;Directed;;;1
36.17;2.12;Directed;;;1
36.8;2.27;Directed;;;1
36.18;2.10;Directed;;;1
36.14;2.43;Directed;;;1
36.19;2.34;Directed;;;1
41.0;2.51;Directed;;;1
41.1;2.13;Directed;;;1
41.2;2.18;Directed;;;1
41.3;2.18;Directed;;;1
41.4;2.54;Directed;;;1
41.0;2.28;Directed;;;1
41.5;2.1;Directed;;;1
41.5;2.35;Directed;;;1
41.6;2.28;Directed;;;1
41.6;2.17;Directed;;;1
41.7;2.44;Directed;;;1
41.8;2.59;Directed;;;1
41.5;2.51;Directed;;;1
41.9;2.60;Directed;;;1
41.3;2.12;Directed;;;1
41.10;2.61;Directed;;;1
41.11;2.18;Directed;;;1
41.11;2.10;Directed;;;1
41.12;2.62;Directed;;;1
41.12;2.2;Directed;;;1
41.13;2.27;Directed;;;1
41.14;2.40;Directed;;;1
41.15;2.23;Directed;;;1
41.5;2.53;Directed;;;1
41.6;2.42;Directed;;;1
41.16;2.63;Directed;;;1
41.17;2.29;Directed;;;1
41.18;2.39;Directed;;;1
41.4;2.6;Directed;;;1
41.19;2.15;Directed;;;1
41.20;2.34;Directed;;;1
41.21;2.49;Directed;;;1
41.20;2.29;Directed;;;1
41.22;2.44;Directed;;;1
41.23;2.64;Directed;;;1
41.24;2.52;Directed;;;1
41.25;2.46;Directed;;;1
41.26;2.62;Directed;;;1
41.26;2.33;Directed;;;1
41.27;2.37;Directed;;;1
41.28;2.43;Directed;;;1
41.29;2.55;Directed;;;1
41.16;2.1;Directed;;;1
41.30;2.54;Directed;;;1
41.31;2.56;Directed;;;1
41.22;2.61;Directed;;;1
41.31;2.0;Directed;;;1
41.32;2.20;Directed;;;1
41.33;2.65;Directed;;;1
41.34;2.66;Directed;;;1
41.35;2.26;Directed;;;1
41.36;2.6;Directed;;;1
41.29;2.22;Directed;;;1
41.37;2.8;Directed;;;1
41.38;2.29;Directed;;;1
41.39;2.67;Directed;;;1
41.40;2.18;Directed;;;1
41.28;2.8;Directed;;;1
41.26;2.5;Directed;;;1
41.41;2.64;Directed;;;1
41.18;2.47;Directed;;;1
41.42;2.68;Directed;;;1
41.43;2.69;Directed;;;1
44.0;2.62;Directed;;;1
44.1;2.24;Directed;;;1
44.1;2.21;Directed;;;1
44.2;2.70;Directed;;;1
44.0;2.24;Directed;;;1
44.1;2.46;Directed;;;1
44.3;2.37;Directed;;;1
44.4;2.34;Directed;;;1
44.5;2.63;Directed;;;1
44.6;2.16;Directed;;;1
44.7;2.17;Directed;;;1
44.8;2.68;Directed;;;1
44.9;2.5;Directed;;;1
44.9;2.59;Directed;;;1
44.1;2.26;Directed;;;1
44.10;2.27;Directed;;;1
44.11;2.19;Directed;;;1
44.12;2.71;Directed;;;1
44.13;2.68;Directed;;;1
44.2;2.39;Directed;;;1
44.13;2.14;Directed;;;1
44.14;2.12;Directed;;;1
44.15;2.69;Directed;;;1
44.16;2.72;Directed;;;1
44.17;2.61;Directed;;;1
44.18;2.21;Directed;;;1
44.19;2.45;Directed;;;1
44.16;2.28;Directed;;;1
44.20;2.10;Directed;;;1
44.5;2.14;Directed;;;1
44.21;2.25;Directed;;;1
44.22;2.24;Directed;;;1
44.23;2.24;Directed;;;1
44.23;2.5;Directed;;;1
44.13;2.12;Directed;;;1
44.21;2.67;Directed;;;1
44.24;2.71;Directed;;;1
44.22;2.22;Directed;;;1
44.25;2.73;Directed;;;1
44.26;2.20;Directed;;;1
44.27;2.62;Directed;;;1
44.0;2.9;Directed;;;1
44.17;2.64;Directed;;;1
44.28;2.74;Directed;;;1
44.29;2.75;Directed;;;1
44.30;2.12;Directed;;;1
44.31;2.40;Directed;;;1
44.32;2.76;Directed;;;1
44.22;2.23;Directed;;;1
44.33;2.0;Directed;;;1
44.22;2.67;Directed;;;1
44.34;2.13;Directed;;;1
44.27;2.21;Directed;;;1
44.35;2.52;Directed;;;1
44.29;2.44;Directed;;;1
44.36;2.16;Directed;;;1
44.37;2.36;Directed;;;1
44.38;2.77;Directed;;;1
44.26;2.38;Directed;;;1
58.0;2.78;Directed;;;1
58.0;2.53;Directed;;;1
58.1;2.67;Directed;;;1
58.2;2.76;Directed;;;1
58.3;2.71;Directed;;;1
58.4;2.79;Directed;;;1
58.5;2.38;Directed;;;1
58.6;2.70;Directed;;;1
58.7;2.0;Directed;;;1
58.1;2.20;Directed;;;1
58.8;2.67;Directed;;;1
58.3;2.68;Directed;;;1
58.9;2.65;Directed;;;1
58.1;2.32;Directed;;;1
58.5;2.77;Directed;;;1
58.10;2.7;Directed;;;1
58.11;2.4;Directed;;;1
58.11;2.52;Directed;;;1
58.12;2.30;Directed;;;1
58.13;2.16;Directed;;;1
58.14;2.34;Directed;;;1
58.15;2.80;Directed;;;1
58.16;2.81;Directed;;;1
58.17;2.24;Directed;;;1
58.18;2.59;Directed;;;1
58.19;2.10;Directed;;;1
58.19;2.30;Directed;;;1
58.19;2.51;Directed;;;1
58.20;2.82;Directed;;;1
58.21;2.16;Directed;;;1
58.10;2.16;Directed;;;1
58.22;2.31;Directed;;;1
58.23;2.83;Directed;;;1
58.24;2.70;Directed;;;1
58.25;2.84;Directed;;;1
58.10;2.52;Directed;;;1
58.26;2.18;Directed;;;1
58.27;2.34;Directed;;;1
58.28;2.60;Directed;;;1
58.16;2.80;Directed;;;1
58.29;2.77;Directed;;;1
58.9;2.37;Directed;;;1
58.30;2.4;Directed;;;1
58.7;2.34;Directed;;;1
58.31;2.85;Directed;;;1
58.25;2.25;Directed;;;1
58.32;2.10;Directed;;;1
58.33;2.46;Directed;;;1
58.34;2.86;Directed;;;1
58.35;2.87;Directed;;;1
58.7;2.5;Directed;;;1
58.1;2.40;Directed;;;1
58.29;2.86;Directed;;;1
58.9;2.31;Directed;;;1
58.5;2.19;Directed;;;1
58.36;2.88;Directed;;;1
58.37;2.49;Directed;;;1
58.38;2.89;Directed;;;1
58.13;2.29;Directed;;;1
58.39;2.15;Directed;;;1
58.0;2.58;Directed;;;1
58.40;2.21;Directed;;;1
58.41;2.90;Directed;;;1
58.33;2.88;Directed;;;1
58.42;2.90;Directed;;;1
58.43;2.75;Directed;;;1
58.23;2.28;Directed;;;1
58.44;2.17;Directed;;;1
58.45;2.72;Directed;;;1
58.31;2.67;Directed;;;1
58.46;2.91;Directed;;;1
58.47;2.28;Directed;;;1
58.6;2.10;Directed;;;1
69.0;2.61;Directed;;;1
69.0;2.70;Directed;;;1
69.1;2.5;Directed;;;1
69.0;2.57;Directed;;;1
69.2;2.12;Directed;;;1
69.3;2.90;Directed;;;1
69.4;2.92;Directed;;;1
69.5;2.88;Directed;;;1
69.6;2.6;Directed;;;1
69.7;2.26;Directed;;;1
69.8;2.49;Directed;;;1
69.8;2.27;Directed;;;1
69.9;2.93;Directed;;;1
69.10;2.27;Directed;;;1
69.11;2.24;Directed;;;1
69.7;2.34;Directed;;;1
69.12;2.93;Directed;;;1
69.13;2.71;Directed;;;1
69.8;2.4;Directed;;;1
69.14;2.94;Directed;;;1
69.11;2.0;Directed;;;1
69.7;2.23;Directed;;;1
69.15;2.95;Directed;;;1
69.16;2.93;Directed;;;1
69.17;2.62;Directed;;;1
69.18;2.13;Directed;;;1
69.15;2.21;Directed;;;1
69.19;2.63;Directed;;;1
69.20;2.96;Directed;;;1
69.21;2.37;Directed;;;1
69.22;2.5;Directed;;;1
69.23;2.34;Directed;;;1
69.24;2.13;Directed;;;1
69.25;2.85;Directed;;;1
69.26;2.70;Directed;;;1
69.27;2.96;Directed;;;1
69.27;2.62;Directed;;;1
69.28;2.97;Directed;;;1
69.29;2.98;Directed;;;1
69.30;2.27;Directed;;;1
69.31;2.89;Directed;;;1
69.19;2.73;Directed;;;1
69.32;2.94;Directed;;;1
69.33;2.97;Directed;;;1
69.34;2.7;Directed;;;1
69.35;2.99;Directed;;;1
69.36;2.100;Directed;;;1
69.37;2.79;Directed;;;1
69.38;2.100;Directed;;;1
69.39;2.67;Directed;;;1
69.40;2.15;Directed;;;1
69.41;2.101;Directed;;;1
69.39;2.94;Directed;;;1
69.28;2.66;Directed;;;1
69.42;2.102;Directed;;;1
69.21;2.96;Directed;;;1
69.43;2.20;Directed;;;1
69.34;2.76;Directed;;;1
69.44;2.77;Directed;;;1
69.45;2.103;Directed;;;1
69.46;2.57;Directed;;;1
69.47;2.104;Directed;;;1
69.21;2.92;Directed;;;1
69.31;2.88;Directed;;;1
69.48;2.55;Directed;;;1
69.49;2.105;Directed;;;1
69.50;2.59;Directed;;;1
69.51;2.0;Directed;;;1
69.52;2.31;Directed;;;1
69.53;2.36;Directed;;;1
69.42;2.75;Directed;;;1
69.54;2.31;Directed;;;1
69.14;2.0;Directed;;;1
69.34;2.27;Directed;;;1
69.55;2.57;Directed;;;1
116.0;2.56;Directed;;;1
116.1;2.20;Directed;;;1
116.2;2.80;Directed;;;1
116.2;2.50;Directed;;;1
116.1;2.26;Directed;;;1
116.3;2.106;Directed;;;1
116.4;2.9;Directed;;;1
116.1;2.33;Directed;;;1
116.2;2.9;Directed;;;1
116.5;2.107;Directed;;;1
116.3;2.105;Directed;;;1
116.6;2.23;Directed;;;1
116.7;2.56;Directed;;;1
131.0;2.107;Directed;;;1
131.0;2.46;Directed;;;1
131.1;2.108;Directed;;;1
131.2;2.109;Directed;;;1
131.3;2.72;Directed;;;1
131.3;2.61;Directed;;;1
131.4;2.18;Directed;;;1
131.5;2.110;Directed;;;1
131.5;2.66;Directed;;;1
131.6;2.73;Directed;;;1
131.4;2.65;Directed;;;1
131.7;2.111;Directed;;;1
131.1;2.49;Directed;;;1
131.8;2.112;Directed;;;1
131.9;2.113;Directed;;;1
131.10;2.99;Directed;;;1
131.11;2.114;Directed;;;1
131.12;2.78;Directed;;;1
131.13;2.61;Directed;;;1
131.13;2.114;Directed;;;1
131.14;2.45;Directed;;;1
131.7;2.61;Directed;;;1
131.8;2.81;Directed;;;1
131.15;2.46;Directed;;;1
131.15;2.97;Directed;;;1
131.16;2.75;Directed;;;1
131.17;2.115;Directed;;;1
131.10;2.14;Directed;;;1
131.18;2.108;Directed;;;1
131.10;2.6;Directed;;;1
131.19;2.116;Directed;;;1
131.20;2.9;Directed;;;1
131.21;2.59;Directed;;;1
131.22;2.109;Directed;;;1
131.23;2.117;Directed;;;1
131.24;2.64;Directed;;;1
131.25;2.29;Directed;;;1
131.26;2.64;Directed;;;1
131.27;2.118;Directed;;;1
131.28;2.9;Directed;;;1
131.2;2.8;Directed;;;1
131.29;2.41;Directed;;;1
131.11;2.105;Directed;;;1
131.30;2.15;Directed;;;1
131.31;2.2;Directed;;;1
131.32;2.38;Directed;;;1
131.33;2.111;Directed;;;1
131.34;2.118;Directed;;;1
131.35;2.61;Directed;;;1
131.36;2.119;Directed;;;1
131.37;2.106;Directed;;;1
131.36;2.76;Directed;;;1
131.9;2.7;Directed;;;1
131.38;2.41;Directed;;;1
131.33;2.34;Directed;;;1
131.6;2.46;Directed;;;1
131.39;2.120;Directed;;;1
131.37;2.70;Directed;;;1
131.40;2.23;Directed;;;1
131.41;2.121;Directed;;;1
131.42;2.120;Directed;;;1
131.43;2.113;Directed;;;1
131.44;2.108;Directed;;;1
135.0;2.32;Directed;;;1
135.1;2.102;Directed;;;1
135.0;2.48;Directed;;;1
135.2;2.122;Directed;;;1
135.3;2.38;Directed;;;1
135.4;2.122;Directed;;;1
135.5;2.123;Directed;;;1
176.0;2.124;Directed;;;1
176.1;2.0;Directed;;;1
176.2;2.125;Directed;;;1
176.3;2.109;Directed;;;1
176.1;2.75;Directed;;;1
176.4;2.38;Directed;;;1
176.5;2.78;Directed;;;1
176.6;2.9;Directed;;;1
176.7;2.65;Directed;;;1
176.5;2.54;Directed;;;1
176.7;2.111;Directed;;;1
176.8;2.126;Directed;;;1
176.9;2.4;Directed;;;1
176.10;2.16;Directed;;;1
176.7;2.108;Directed;;;1
176.11;2.127;Directed;;;1
176.3;2.74;Directed;;;1
176.1;2.24;Directed;;;1
176.6;2.12;Directed;;;1
176.12;2.128;Directed;;;1
176.13;2.129;Directed;;;1
176.14;2.94;Directed;;;1
176.6;2.128;Directed;;;1
176.15;2.65;Directed;;;1
176.16;2.13;Directed;;;1
176.17;2.56;Directed;;;1
176.3;2.58;Directed;;;1
176.18;2.58;Directed;;;1
176.19;2.130;Directed;;;1
176.20;2.23;Directed;;;1
176.21;2.60;Directed;;;1
176.22;2.131;Directed;;;1
176.2;2.7;Directed;;;1
176.11;2.74;Directed;;;1
176.23;2.24;Directed;;;1
176.24;2.91;Directed;;;1
176.25;2.50;Directed;;;1
176.26;2.93;Directed;;;1
176.26;2.38;Directed;;;1
176.22;2.53;Directed;;;1
176.27;2.132;Directed;;;1
176.28;2.50;Directed;;;1
176.22;2.5;Directed;;;1
176.29;2.121;Directed;;;1
176.23;2.44;Directed;;;1
176.30;2.124;Directed;;;1
176.31;2.95;Directed;;;1
176.32;2.133;Directed;;;1
176.33;2.36;Directed;;;1
176.3;2.84;Directed;;;1
176.34;2.134;Directed;;;1
176.35;2.1;Directed;;;1
176.36;2.92;Directed;;;1
176.37;2.135;Directed;;;1
176.8;2.62;Directed;;;1
176.17;2.0;Directed;;;1
176.38;2.136;Directed;;;1
176.39;2.137;Directed;;;1
176.40;2.138;Directed;;;1
176.41;2.52;Directed;;;1
176.42;2.9;Directed;;;1
176.43;2.139;Directed;;;1
176.44;2.140;Directed;;;1
176.15;2.37;Directed;;;1
176.45;2.102;Directed;;;1
176.26;2.70;Directed;;;1
176.46;2.141;Directed;;;1
176.47;2.67;Directed;;;1
176.48;2.16;Directed;;;1
176.49;2.142;Directed;;;1
176.50;2.139;Directed;;;1
176.38;2.12;Directed;;;1
176.51;2.34;Directed;;;1
176.30;2.19;Directed;;;1
176.52;2.141;Directed;;;1
176.53;2.102;Directed;;;1
176.54;2.102;Directed;;;1
179.0;2.92;Directed;;;1
179.1;2.46;Directed;;;1
179.2;2.17;Directed;;;1
179.2;2.86;Directed;;;1
179.3;2.143;Directed;;;1
179.4;2.30;Directed;;;1
179.5;2.144;Directed;;;1
179.6;2.52;Directed;;;1
179.7;2.145;Directed;;;1
179.8;2.98;Directed;;;1
179.9;2.69;Directed;;;1
179.10;2.45;Directed;;;1
179.10;2.71;Directed;;;1
179.11;2.16;Directed;;;1
179.12;2.123;Directed;;;1
179.6;2.19;Directed;;;1
179.6;2.83;Directed;;;1
182.0;2.41;Directed;;;1
182.1;2.146;Directed;;;1
182.0;2.98;Directed;;;1
182.0;2.84;Directed;;;1
182.2;2.17;Directed;;;1
182.3;2.132;Directed;;;1
182.4;2.105;Directed;;;1
182.4;2.128;Directed;;;1
182.5;2.141;Directed;;;1
182.6;2.17;Directed;;;1
182.7;2.136;Directed;;;1
182.8;2.78;Directed;;;1
182.9;2.147;Directed;;;1
182.9;2.146;Directed;;;1
182.4;2.144;Directed;;;1
182.10;2.117;Directed;;;1
182.11;2.18;Directed;;;1
182.12;2.84;Directed;;;1
182.13;2.135;Directed;;;1
182.14;2.148;Directed;;;1
182.0;2.96;Directed;;;1
182.15;2.149;Directed;;;1
182.12;2.38;Directed;;;1
182.16;2.113;Directed;;;1
182.17;2.149;Directed;;;1
182.16;2.90;Directed;;;1
182.18;2.144;Directed;;;1
182.5;2.75;Directed;;;1
182.19;2.27;Directed;;;1
182.20;2.112;Directed;;;1
182.21;2.149;Directed;;;1
182.22;2.104;Directed;;;1
182.23;2.65;Directed;;;1
182.2;2.44;Directed;;;1
182.7;2.41;Directed;;;1
182.24;2.78;Directed;;;1
182.25;2.11;Directed;;;1
182.26;2.46;Directed;;;1
182.27;2.150;Directed;;;1
182.28;2.61;Directed;;;1
182.4;2.148;Directed;;;1
182.29;2.151;Directed;;;1
183.0;2.105;Directed;;;1
183.0;2.108;Directed;;;1
183.1;2.152;Directed;;;1
183.2;2.45;Directed;;;1
183.3;2.69;Directed;;;1
183.4;2.135;Directed;;;1
183.4;2.30;Directed;;;1
183.5;2.153;Directed;;;1
183.2;2.17;Directed;;;1
183.6;2.42;Directed;;;1
183.7;2.59;Directed;;;1
183.8;2.120;Directed;;;1
183.9;2.41;Directed;;;1
183.10;2.143;Directed;;;1
183.11;2.8;Directed;;;1
183.12;2.149;Directed;;;1
183.9;2.108;Directed;;;1
183.13;2.31;Directed;;;1
183.14;2.154;Directed;;;1
183.3;2.46;Directed;;;1
183.15;2.50;Directed;;;1
183.16;2.125;Directed;;;1
183.17;2.66;Directed;;;1
183.18;2.4;Directed;;;1
183.19;2.155;Directed;;;1
183.20;2.156;Directed;;;1
183.21;2.65;Directed;;;1
183.22;2.36;Directed;;;1
183.23;2.77;Directed;;;1
183.24;2.2;Directed;;;1
183.25;2.30;Directed;;;1
183.26;2.135;Directed;;;1
183.27;2.19;Directed;;;1
183.1;2.30;Directed;;;1
183.28;2.115;Directed;;;1
183.13;2.78;Directed;;;1
183.29;2.157;Directed;;;1
183.30;2.158;Directed;;;1
183.31;2.159;Directed;;;1
183.11;2.66;Directed;;;1
183.32;2.160;Directed;;;1
183.33;2.138;Directed;;;1
183.34;2.129;Directed;;;1
183.21;2.33;Directed;;;1
183.35;2.78;Directed;;;1
183.36;2.161;Directed;;;1
183.31;2.2;Directed;;;1
183.37;2.71;Directed;;;1
183.24;2.38;Directed;;;1
183.32;2.144;Directed;;;1
183.38;2.162;Directed;;;1
183.20;2.145;Directed;;;1
183.30;2.33;Directed;;;1
183.39;2.65;Directed;;;1
183.40;2.163;Directed;;;1
183.41;2.164;Directed;;;1
183.42;2.72;Directed;;;1
183.43;2.54;Directed;;;1
183.44;2.47;Directed;;;1
183.34;2.7;Directed;;;1
183.23;2.90;Directed;;;1
183.45;2.87;Directed;;;1
183.25;2.79;Directed;;;1
183.46;2.18;Directed;;;1
183.9;2.29;Directed;;;1
183.29;2.33;Directed;;;1
183.22;2.18;Directed;;;1
183.47;2.94;Directed;;;1
183.48;2.67;Directed;;;1
183.49;2.68;Directed;;;1
183.50;2.165;Directed;;;1
183.51;2.150;Directed;;;1
183.16;2.37;Directed;;;1
183.34;2.33;Directed;;;1
183.52;2.166;Directed;;;1
183.51;2.128;Directed;;;1
183.53;2.110;Directed;;;1
183.54;2.26;Directed;;;1
183.25;2.27;Directed;;;1
183.22;2.86;Directed;;;1
188.0;2.94;Directed;;;1
188.1;2.167;Directed;;;1
188.2;2.145;Directed;;;1
188.3;2.168;Directed;;;1
188.4;2.86;Directed;;;1
188.5;2.108;Directed;;;1
188.6;2.169;Directed;;;1
188.7;2.110;Directed;;;1
188.8;2.170;Directed;;;1
188.9;2.74;Directed;;;1
188.10;2.110;Directed;;;1
188.11;2.126;Directed;;;1
188.12;2.154;Directed;;;1
188.13;2.94;Directed;;;1
188.14;2.57;Directed;;;1
